aaRate10K;aaRate10Kpy;count;cRate10K;cRate10Kpy;dailyMean;indicator_Hospitalizations;County_New_York_City;Year_2007-2009;Year_2009-2011;Year_2011-2013;Year_2013-2015;Year_2015-2017;Year_2017-2019
16717.0;55723.0;177969.0;16010.0;53366.0;162529.0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
17342.0;57807.0;184119.0;16519.0;55062.0;167992.0;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
17583.0;58610.0;186699.0;16664.0;55546.0;170501.0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
17172.0;57239.0;181956.0;16207.0;54024.0;166018.0;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
16471.0;54902.0;173125.0;15440.0;51468.0;158105.0;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
14611.0;48704.0;150809.0;13502.0;45007.0;137599.0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
13193.0;43976.0;134477.0;12075.0;40252.0;122810.0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
42860.0;142868.0;329696.0;41176.0;137253.0;301092.0;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
43748.0;145826.0;338989.0;42000.0;140000.0;309297.0;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
44222.0;147406.0;347784.0;42422.0;141406.0;317611.0;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
45997.0;153322.0;368053.0;44139.0;147129.0;335815.0;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
45169.0;150564.0;365209.0;43317.0;144392.0;333524.0;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
40625.0;135418.0;327932.0;38778.0;129261.0;299208.0;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
34920.0;116399.0;278838.0;33242.0;110807.0;254647.0;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
3623.0;12077.0;40247.0;3621.0;12069.0;36755.0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
3694.0;12313.0;41362.0;3711.0;12370.0;37739.0;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
3681.0;12270.0;41623.0;3715.0;12384.0;38012.0;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
3298.0;10994.0;37679.0;3356.0;11187.0;34379.0;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
2941.0;9805.0;33403.0;2979.0;9930.0;30505.0;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
2237.0;7455.0;24074.0;2155.0;7185.0;21965.0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
1943.0;6478.0;20313.0;1824.0;6080.0;18551.0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
10218.0;34058.0;78640.0;9821.0;32738.0;71817.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
10389.0;34630.0;80861.0;10018.0;33395.0;73778.0;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
9813.0;32711.0;78090.0;9525.0;31751.0;71315.0;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
8863.0;29543.0;72224.0;8661.0;28871.0;65898.0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
7843.0;26145.0;64758.0;7681.0;25603.0;59140.0;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
5634.0;18780.0;45987.0;5438.0;18127.0;41959.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
4595.0;15315.0;36918.0;4401.0;14671.0;33715.0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
