"indicator","County","Year","subgroup1","subgroup_cat1","subgroup2","subgroup_cat2","aaRate10K","aaRate10Kpy","count","cRate10K","cRate10Kpy","dailyMean"
"ED Visits","Albany","2005-2007","Total",,"Total",,222.59,74.196,6317,208.11,69.368,5.769
"ED Visits","Albany","2005-2019","Total",,"Total",,1071.71,71.447,30185,988.14,65.876,5.510
"ED Visits","Albany","2006-2008","Total",,"Total",,222.67,74.225,6341,208.68,69.559,5.786
"ED Visits","Albany","2007-2009","Total",,"Total",,230.33,76.778,6557,215.61,71.871,5.983
"ED Visits","Albany","2008-2010","Total",,"Total",,233.05,77.682,6608,217.24,72.412,6.029
"ED Visits","Albany","2009-2011","Total",,"Total",,234.43,78.144,6626,217.62,72.541,6.051
"ED Visits","Albany","2010-2012","Total",,"Total",,231.67,77.223,6514,213.71,71.238,5.943
"ED Visits","Albany","2011-2013","Total",,"Total",,231.71,77.237,6498,212.61,70.869,5.929
"ED Visits","Albany","2012-2014","Total",,"Total",,232.01,77.338,6484,211.56,70.519,5.916
"ED Visits","Albany","2013-2015","Total",,"Total",,222.41,74.137,6245,203.38,67.794,5.703
"ED Visits","Albany","2014-2016","Total",,"Total",,208.04,69.348,5846,190.18,63.393,5.334
"ED Visits","Albany","2015-2017","Total",,"Total",,190.80,63.600,5401,175.60,58.532,4.928
"ED Visits","Albany","2016-2018","Total",,"Total",,180.96,60.319,5079,165.28,55.093,4.634
"ED Visits","Albany","2017-2019","Total",,"Total",,176.56,58.852,4916,160.34,53.446,4.489
"ED Visits","Allegany","2005-2007","Total",,"Total",,108.52,36.173,500,101.21,33.737,0.457
"ED Visits","Allegany","2005-2019","Total",,"Total",,639.88,42.659,2817,585.80,39.053,0.514
"ED Visits","Allegany","2006-2008","Total",,"Total",,106.85,35.617,491,99.79,33.262,0.448
"ED Visits","Allegany","2007-2009","Total",,"Total",,115.41,38.472,522,106.37,35.456,0.476
"ED Visits","Allegany","2008-2010","Total",,"Total",,109.48,36.494,490,99.92,33.307,0.447
"ED Visits","Allegany","2009-2011","Total",,"Total",,124.77,41.589,559,114.28,38.095,0.511
"ED Visits","Allegany","2010-2012","Total",,"Total",,145.32,48.441,644,132.35,44.115,0.588
"ED Visits","Allegany","2011-2013","Total",,"Total",,170.93,56.976,743,153.82,51.273,0.678
"ED Visits","Allegany","2012-2014","Total",,"Total",,170.01,56.671,738,154.00,51.335,0.673
"ED Visits","Allegany","2013-2015","Total",,"Total",,159.73,53.243,691,145.08,48.360,0.631
"ED Visits","Allegany","2014-2016","Total",,"Total",,139.99,46.662,607,128.21,42.737,0.554
"ED Visits","Allegany","2015-2017","Total",,"Total",,124.38,41.460,534,113.60,37.868,0.487
"ED Visits","Allegany","2016-2018","Total",,"Total",,114.60,38.199,489,104.77,34.925,0.446
"ED Visits","Allegany","2017-2019","Total",,"Total",,112.82,37.605,477,102.90,34.301,0.436
"ED Visits","Bronx","2005-2007","Total",,"Total",,780.65,260.218,107326,794.23,264.744,98.015
"ED Visits","Bronx","2005-2019","Total",,"Total",,3890.69,259.379,549341,3920.50,261.366,100.281
"ED Visits","Bronx","2006-2008","Total",,"Total",,810.01,270.003,111264,820.99,273.665,101.518
"ED Visits","Bronx","2007-2009","Total",,"Total",,795.72,265.241,109799,804.62,268.208,100.182
"ED Visits","Bronx","2008-2010","Total",,"Total",,773.01,257.669,107356,780.38,260.128,97.953
"ED Visits","Bronx","2009-2011","Total",,"Total",,754.46,251.486,105596,761.35,253.782,96.435
"ED Visits","Bronx","2010-2012","Total",,"Total",,782.49,260.829,110362,789.03,263.009,100.695
"ED Visits","Bronx","2011-2013","Total",,"Total",,833.60,277.866,118533,840.51,280.170,108.151
"ED Visits","Bronx","2012-2014","Total",,"Total",,880.84,293.613,126122,887.27,295.758,115.075
"ED Visits","Bronx","2013-2015","Total",,"Total",,878.79,292.930,126638,884.99,294.996,115.651
"ED Visits","Bronx","2014-2016","Total",,"Total",,838.93,279.643,121368,843.74,281.246,110.737
"ED Visits","Bronx","2015-2017","Total",,"Total",,775.50,258.500,112246,778.58,259.526,102.414
"ED Visits","Bronx","2016-2018","Total",,"Total",,722.86,240.954,104146,723.72,241.239,95.024
"ED Visits","Bronx","2017-2019","Total",,"Total",,663.07,221.023,94758,662.50,220.834,86.537
"ED Visits","Broome","2005-2007","Total",,"Total",,161.42,53.806,3028,150.83,50.277,2.765
"ED Visits","Broome","2005-2019","Total",,"Total",,806.90,53.793,14789,748.47,49.898,2.700
"ED Visits","Broome","2006-2008","Total",,"Total",,163.81,54.603,3079,153.23,51.077,2.809
"ED Visits","Broome","2007-2009","Total",,"Total",,160.19,53.396,3014,149.99,49.997,2.750
"ED Visits","Broome","2008-2010","Total",,"Total",,157.28,52.426,2978,148.30,49.432,2.717
"ED Visits","Broome","2009-2011","Total",,"Total",,159.83,53.278,3020,150.80,50.268,2.758
"ED Visits","Broome","2010-2012","Total",,"Total",,170.23,56.744,3207,160.75,53.583,2.926
"ED Visits","Broome","2011-2013","Total",,"Total",,177.03,59.011,3312,166.73,55.576,3.022
"ED Visits","Broome","2012-2014","Total",,"Total",,182.95,60.983,3374,170.45,56.817,3.078
"ED Visits","Broome","2013-2015","Total",,"Total",,188.15,62.715,3410,173.07,57.690,3.114
"ED Visits","Broome","2014-2016","Total",,"Total",,178.29,59.430,3166,161.62,53.873,2.889
"ED Visits","Broome","2015-2017","Total",,"Total",,156.53,52.176,2727,140.20,46.733,2.488
"ED Visits","Broome","2016-2018","Total",,"Total",,132.80,44.266,2276,117.82,39.274,2.077
"ED Visits","Broome","2017-2019","Total",,"Total",,136.28,45.428,2305,120.15,40.051,2.105
"ED Visits","Cattaraugus","2005-2007","Total",,"Total",,159.09,53.029,1211,148.63,49.542,1.106
"ED Visits","Cattaraugus","2005-2019","Total",,"Total",,782.24,52.149,5712,721.00,48.067,1.043
"ED Visits","Cattaraugus","2006-2008","Total",,"Total",,170.71,56.902,1285,158.54,52.846,1.172
"ED Visits","Cattaraugus","2007-2009","Total",,"Total",,188.79,62.931,1417,175.44,58.479,1.293
"ED Visits","Cattaraugus","2008-2010","Total",,"Total",,196.64,65.545,1465,182.01,60.670,1.337
"ED Visits","Cattaraugus","2009-2011","Total",,"Total",,205.26,68.419,1518,189.34,63.112,1.386
"ED Visits","Cattaraugus","2010-2012","Total",,"Total",,190.15,63.383,1398,175.20,58.401,1.276
"ED Visits","Cattaraugus","2011-2013","Total",,"Total",,178.08,59.361,1317,165.90,55.299,1.202
"ED Visits","Cattaraugus","2012-2014","Total",,"Total",,165.06,55.019,1217,154.04,51.346,1.110
"ED Visits","Cattaraugus","2013-2015","Total",,"Total",,162.42,54.138,1190,151.53,50.510,1.087
"ED Visits","Cattaraugus","2014-2016","Total",,"Total",,146.37,48.788,1049,134.34,44.779,0.957
"ED Visits","Cattaraugus","2015-2017","Total",,"Total",,125.42,41.806,877,113.03,37.678,0.800
"ED Visits","Cattaraugus","2016-2018","Total",,"Total",,108.38,36.127,742,96.13,32.044,0.677
"ED Visits","Cattaraugus","2017-2019","Total",,"Total",,99.15,33.051,670,87.38,29.128,0.612
"ED Visits","Cayuga","2005-2007","Total",,"Total",,133.76,44.588,1038,128.35,42.782,0.948
"ED Visits","Cayuga","2005-2019","Total",,"Total",,615.43,41.029,4552,575.06,38.338,0.831
"ED Visits","Cayuga","2006-2008","Total",,"Total",,135.11,45.036,1041,129.05,43.016,0.950
"ED Visits","Cayuga","2007-2009","Total",,"Total",,145.56,48.518,1104,137.27,45.755,1.007
"ED Visits","Cayuga","2008-2010","Total",,"Total",,142.81,47.603,1078,134.44,44.814,0.984
"ED Visits","Cayuga","2009-2011","Total",,"Total",,126.61,42.203,951,118.99,39.665,0.868
"ED Visits","Cayuga","2010-2012","Total",,"Total",,118.42,39.473,901,113.05,37.684,0.822
